,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date
49,86,https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png,Mina,MINA,"$857,874,370.01","$1,962,611,460.68",$2.22,$2.38,$2.33,$2.32,0.46%,"$39,520,076.07",$2.38,"$44,201,798.01",0.05152,0.05%,"360,223,380",No,"824,104,972",$0.08477,$2.54,$2.25,$3.64,$2.09,$3.64,$2.09,$6.57,$2.09,$9.91,$0.9233,$9.91,$0.9233,"Jun 01, 2021","Jul 21, 2021",2022-01-26 21:27:48.693879
50,87,https://s2.coinmarketcap.com/static/img/coins/64x64/3822.png,Theta Fuel,TFUEL,"$836,565,950.14","$836,565,950.14",$0.123,$0.1314,$0.1314,$0.1286,2.06%,"$27,492,648.51",$0.1578,"$154,321,402.47",0.1845,0.05%,"5,301,214,400",No,"5,301,214,400",$0.031,$0.1881,$0.1253,$0.2006,$0.1148,$0.2006,$0.1148,$0.3968,$0.1148,$0.6807,$0.02678,$0.6807,$0.0008897,"Jun 09, 2021","Mar 13, 2020",2022-01-26 21:27:51.422585
51,89,https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png,Decred,DCR,"$816,888,532.16","$1,251,096,839.51",$53.09,$56.17,$54.97,$54.78,0.34%,"$5,135,359.37",$59.58,"$11,095,754.44",0.01358,0.05%,"13,711,696","21,000,000","13,711,696",$4.91,$63.69,$53.86,$71.30,$50.28,$71.30,$50.28,$122.24,$50.28,$250.02,$50.28,$250.02,$0.3948,"Apr 17, 2021","Dec 28, 2016",2022-01-26 21:27:54.144306
52,90,https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png,XDC Network,XDC,"$799,415,352.66","$2,449,568,055.02",$0.06179,$0.06424,$0.06238,$0.06348,1.77%,"$7,879,738.28",$0.06497,"$9,200,977.47",0.01151,0.05%,"12,305,012,699",No,"37,705,012,699",$0.001572,$0.06615,$0.06294,$0.08312,$0.05745,$0.08312,$0.05745,$0.1165,$0.05745,$0.1939,$0.005411,$0.1939,$0.0001571,"Aug 21, 2021","Jun 20, 2019",2022-01-26 21:27:56.845084
53,94,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,IoTeX,IOTX,"$724,145,198.62","$759,000,050.21",$0.06838,$0.0735,$0.07068,$0.07255,2.64%,"$25,749,998.52",$0.0759,"$32,437,129.48",0.04479,0.04%,"9,540,779,324","10,000,000,000","9,626,124,332",$0.003571,$0.07905,$0.07138,$0.109,$0.06322,$0.109,$0.06322,$0.2611,$0.06258,$0.2611,$0.009101,$0.2611,$0.001239,"Nov 13, 2021","Mar 13, 2020",2022-01-26 21:27:59.524817
54,95,https://s2.coinmarketcap.com/static/img/coins/64x64/2577.png,Ravencoin,RVN,"$688,787,975.16","$1,381,089,178.12",$0.06075,$0.0651,$0.06224,$0.06334,1.77%,"$31,852,156.95",$0.06577,"$44,322,844.89",0.06435,0.04%,"10,473,290,000","21,000,000,000","10,473,290,000",$0.00171,$0.07022,$0.06281,$0.08872,$0.05355,$0.08872,$0.05355,$0.1496,$0.05355,$0.2854,$0.0146,$0.2854,$0.008794,"Feb 20, 2021","Mar 13, 2020",2022-01-26 21:28:02.166824
55,98,https://s2.coinmarketcap.com/static/img/coins/64x64/4747.png,Velas,VLX,"$575,251,944.07","$575,251,944.07",$0.2367,$0.2459,$0.2459,$0.2435,0.99%,"$7,938,970.03",$0.2551,"$10,114,298.50",0.01758,0.03%,"2,254,628,928",No,"2,254,628,928",$0.01044,$0.2593,$0.2409,$0.3339,$0.226,$0.5706,$0.226,$0.572,$0.1666,$0.572,$0.03444,$0.572,$0.01162,"Nov 04, 2021","Oct 16, 2019",2022-01-26 21:28:06.448375
56,101,https://s2.coinmarketcap.com/static/img/coins/64x64/1684.png,Qtum,QTUM,"$567,181,507.35","$617,826,977.31",$5.32,$5.59,$5.46,$5.55,1.73%,"$112,999,217.81",$5.73,"$124,320,050.05",0.2192,0.03%,"98,983,821","107,822,406","103,944,501",$0.216,$6.03,$5.46,$7.67,$4.98,$7.67,$4.98,$19.15,$4.98,$35.38,$3.02,$106.88,$0.77,"Jan 07, 2018","Mar 13, 2020",2022-01-26 21:28:08.942705
57,105,https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png,Zilliqa,ZIL,"$551,565,438.58","$940,332,283.06",$0.04143,$0.04637,$0.04217,$0.04501,6.74%,"$78,088,874.17",$0.04478,"$67,645,626.02",0.1226,0.03%,"12,317,852,337","21,000,000,000","15,609,319,490",$-0.0007445,$0.04802,$0.04428,$0.06213,$0.0379,$0.06213,$0.0379,$0.1246,$0.0379,$0.2563,$0.0379,$0.2563,$0.002477,"May 06, 2021","Mar 13, 2020",2022-01-26 21:28:11.363994
58,105,https://s2.coinmarketcap.com/static/img/coins/64x64/2300.png,WAX,WAXP,"$558,889,218.67","$1,121,235,809.26",$0.2636,$0.2805,$0.2792,$0.2792,NaN,"$39,507,262.61",$0.2918,"$59,881,653.77",0.1071,0.03%,"1,915,363,535",No,"3,842,575,793",$0.01938,$0.312,$0.2687,$0.3809,$0.2374,$0.3809,$0.2374,$0.9814,$0.2374,$0.9814,$0.03811,$5.01,$0.01596,"Dec 21, 2017","Dec 30, 2019",2022-01-26 21:28:13.605061
59,111,https://s2.coinmarketcap.com/static/img/coins/64x64/541.png,Syscoin,SYS,"$527,155,423.10","$740,324,478.80",$0.8099,$0.8861,$0.8577,$0.8398,2.09%,"$23,789,321.24",$0.8337,"$27,434,880.28",0.05204,0.03%,"632,309,250","888,000,000","632,309,250",$-0.01719,$0.8915,$0.8187,$1.21,$0.7296,$1.21,$0.7296,$1.31,$0.3102,$1.31,$0.08917,$1.31,$0.0001992,"Jan 02, 2022","Feb 22, 2015",2022-01-26 21:28:16.489441
60,115,https://s2.coinmarketcap.com/static/img/coins/64x64/2083.png,Bitcoin Gold,BTG,"$510,172,447.31","$611,720,231.57",$27.74,$29.03,$28.42,$28.70,0.99%,"$26,428,168.43",$29.13,"$27,659,093.40",0.05422,0.03%,"17,513,924","21,000,000","17,513,924",$0.4394,$30.69,$28.45,$36.66,$26.14,$36.66,$26.14,$76.61,$26.14,$168.19,$9.53,$539.72,$2.54,"Oct 23, 2017","Nov 23, 2020",2022-01-26 21:28:18.953029
61,119,https://s2.coinmarketcap.com/static/img/coins/64x64/2099.png,ICON,ICX,"$494,795,546.63","$561,056,116.34",$0.6355,$0.6829,$0.6654,$0.6804,2.25%,"$23,285,339.34",$0.7009,"$27,453,235.29",0.05548,0.03%,"705,925,899",No,"800,460,000",$0.0243,$0.7461,$0.6642,$0.9763,$0.5937,$0.9763,$0.5937,$2.71,$0.5937,$3.26,$0.5937,$12.64,$0.1069,"Jan 09, 2018","Jan 03, 2020",2022-01-26 21:28:21.321062
62,121,https://s2.coinmarketcap.com/static/img/coins/64x64/1042.png,Siacoin,SC,"$479,884,800.98","$479,884,800.98",$0.00907,$0.00954,$0.0094,$0.009468,0.73%,"$15,395,423.72",$0.009607,"$24,055,336.38",0.05013,0.03%,"49,953,922,992",No,"49,953,922,992",$0.0002191,$0.01029,$0.009266,$0.01323,$0.008341,$0.01323,$0.008341,$0.02957,$0.008341,$0.06292,$0.003973,$0.1117,$0.00001131,"Jan 06, 2018","Dec 01, 2015",2022-01-26 21:28:23.668986
63,125,https://s2.coinmarketcap.com/static/img/coins/64x64/1698.png,Horizen,ZEN,"$454,631,710.67","$795,701,640.96",$33.37,$36.09,$34.09,$34.94,2.5%,"$35,113,992.55",$37.89,"$63,393,973.43",0.1394,0.03%,"11,998,550","21,000,000","11,752,188",$2.79,$40.79,$34.45,$52.54,$30.15,$52.54,$30.15,$136.88,$30.15,$168.15,$28.51,$168.15,$3.09,"May 08, 2021","Jul 31, 2017",2022-01-26 21:28:25.947993
64,127,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Nervos Network,CKB,"$441,994,627.49","$528,949,960.53",$0.01371,$0.01487,$0.01409,$0.01462,3.76%,"$10,325,276.70",$0.01496,"$26,338,691.76",0.05959,0.03%,"29,539,682,084",No,"35,351,139,359",$0.0002686,$0.01584,$0.01413,$0.02092,$0.01258,$0.02092,$0.01258,$0.03557,$0.01258,$0.04412,$0.004892,$0.04412,$0.002565,"Mar 31, 2021","Mar 13, 2020",2022-01-26 21:28:28.593954
65,129,https://s2.coinmarketcap.com/static/img/coins/64x64/2405.png,IOST,IOST,"$429,704,649.42","$2,136,686,050.16",$0.02131,$0.02249,$0.02175,$0.02202,1.25%,"$42,839,096.80",$0.02374,"$59,110,447.23",0.1376,0.03%,"18,099,719,631","90,000,000,000","18,099,719,631",$0.001781,$0.02496,$0.02162,$0.02819,$0.01919,$0.02819,$0.01919,$0.05745,$0.01919,$0.09073,$0.01432,$0.1365,$0.001562,"Jan 24, 2018","Mar 13, 2020",2022-01-26 21:28:31.785418
66,132,https://s2.coinmarketcap.com/static/img/coins/64x64/2566.png,Ontology,ONT,"$407,767,317.08","$465,886,933.84",$0.4356,$0.4559,$0.4455,$0.4528,1.63%,"$38,575,256.84",$0.4659,"$47,988,474.66",0.1177,0.02%,"875,249,524","1,000,000,000","1,000,000,000",$0.01664,$0.4895,$0.4435,$0.6207,$0.408,$0.6207,$0.408,$1.24,$0.408,$2.94,$0.408,$11.18,$0.225,"May 03, 2018","Mar 13, 2020",2022-01-26 21:28:36.342331
67,138,https://s2.coinmarketcap.com/static/img/coins/64x64/3029.png,Flux,FLUX,"$350,435,747.42","$685,205,996.88",$1.39,$1.55,$1.50,$1.48,0.8%,"$36,610,109.10",$1.56,"$53,553,835.85",0.1528,0.02%,"225,029,742","440,000,000","220,347,380",$0.06044,$1.70,$1.46,$2.46,$1.30,$2.46,$1.30,$4.17,$0.4601,$4.17,$0.02423,$4.17,$0.01698,"Dec 10, 2021","Nov 16, 2020",2022-01-26 21:28:40.464378
68,137,https://s2.coinmarketcap.com/static/img/coins/64x64/5370.png,Hive,HIVE,"$348,171,001.40","$348,171,001.40",$0.7868,$0.8453,$0.8435,$0.8381,0.64%,"$12,681,448.79",$0.867,"$52,981,894.40",0.1522,0.02%,"401,580,988",No,"401,580,988",$0.03077,$0.9628,$0.8215,$1.19,$0.7168,$1.19,$0.7168,$3.42,$0.7168,$3.42,$0.1271,$3.42,$0.08694,"Nov 26, 2021","Apr 06, 2020",2022-01-26 21:28:42.632264
69,140,https://s2.coinmarketcap.com/static/img/coins/64x64/109.png,DigiByte,DGB,"$336,689,744.26","$470,006,673.56",$0.01995,$0.02125,$0.02031,$0.0212,4.38%,"$21,693,582.09",$0.02238,"$27,416,002.11",0.08143,0.02%,"15,043,370,716","21,000,000,000","15,043,370,716",$0.001303,$0.02351,$0.02078,$0.02853,$0.0183,$0.02853,$0.0183,$0.07165,$0.0183,$0.1825,$0.0183,$0.1825,$0.00002028,"May 01, 2021","Dec 20, 2014",2022-01-26 21:28:44.858988
70,146,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Nano,XNO,"$315,378,314.73","$315,378,314.26",$2.27,$2.40,$2.31,$2.33,1.15%,"$64,639,615.94",$2.37,"$60,587,765.47",0.1921,0.02%,"133,248,297","133,248,297","133,248,297",$-0.007003,$2.62,$2.25,$3.12,$1.93,$3.12,$1.93,$7.48,$1.93,$17.49,$1.93,$37.62,$0.006658,"Jan 02, 2018","Mar 10, 2017",2022-01-26 21:28:47.331280
71,152,https://s2.coinmarketcap.com/static/img/coins/64x64/6187.png,Serum,SRM,"$285,109,941.08","$21,744,077,048.06",$2.06,$2.15,$2.11,$2.10,0.47%,"$58,654,483.88",$2.14,"$72,901,768.82",0.2557,0.02%,"133,231,781","10,161,000,000","1,092,844,982",$0.0393,$2.27,$2.06,$3.01,$1.94,$3.01,$1.94,$8.88,$1.94,$13.72,$1.80,$13.72,$0.11,"Sep 11, 2021","Aug 11, 2020",2022-01-26 21:28:50.222368
72,155,https://s2.coinmarketcap.com/static/img/coins/64x64/5899.png,Casper,CSPR,"$269,308,048.20","$932,387,084.95",$0.07597,$0.09157,$0.08118,$0.08841,8.91%,"$18,844,153.80",$0.08773,"$16,033,664.66",0.05954,0.02%,"3,069,626,556",No,"10,627,532,952",$-0.001871,$0.09243,$0.08651,$0.1077,$0.07156,$0.1077,$0.07156,$0.2401,$0.07156,$1.36,$0.05072,$1.36,$0.05072,"May 12, 2021","Jul 15, 2021",2022-01-26 21:28:52.914371
73,165,https://s2.coinmarketcap.com/static/img/coins/64x64/3992.png,COTI,COTI,"$236,503,674.43","$544,517,705.86",$0.2474,$0.2718,$0.2614,$0.2599,0.56%,"$37,401,962.90",$0.2723,"$38,260,656.95",0.1618,0.01%,"868,672,118","2,000,000,000","2,000,000,000",$0.01073,$0.2851,$0.2545,$0.3956,$0.2231,$0.3956,$0.2231,$0.6826,$0.2231,$0.6826,$0.05635,$0.6826,$0.006226,"Oct 31, 2021","Nov 09, 2019",2022-01-26 21:28:56.619299
74,171,https://s2.coinmarketcap.com/static/img/coins/64x64/2303.png,MediBloc,MED,"$211,164,494.83","$308,083,005.31",$0.03531,$0.03759,$0.03759,$0.03729,0.8%,"$5,126,248.43",$0.03923,"$21,126,591.19",0.1,0.01%,"5,382,401,140",No,"7,852,770,516",$0.002348,$0.04254,$0.03662,$0.04914,$0.03377,$0.04914,$0.03377,$0.09195,$0.03377,$0.3528,$0.004169,$0.3528,$0.001558,"Apr 02, 2021","Feb 06, 2019",2022-01-26 21:29:00.298069
75,173,https://s2.coinmarketcap.com/static/img/coins/64x64/1214.png,Lisk,LSK,"$208,773,385.94","$234,555,479.61",$1.48,$1.60,$1.54,$1.59,3.09%,"$3,224,462.00",$1.62,"$12,706,784.53",0.06086,0.01%,"128,900,445",No,"144,818,773",$0.04539,$1.70,$1.54,$2.06,$1.45,$2.06,$1.45,$4.53,$1.45,$11.41,$1.19,$39.31,$0.09565,"Jan 07, 2018","Mar 02, 2017",2022-01-26 21:29:02.919086
76,177,https://s2.coinmarketcap.com/static/img/coins/64x64/2868.png,Constellation,DAG,"$198,427,959.96","$578,502,143.48",$0.1501,$0.1623,$0.1526,$0.1569,2.83%,"$1,405,449.73",$0.1566,"$1,404,834.99",0.00708,0.01%,"1,266,911,931","3,693,588,685","3,711,998,690",$-0.0003528,$0.1603,$0.1538,$0.1867,$0.1365,$0.1867,$0.1365,$0.2862,$0.1365,$0.4624,$0.009042,$0.4624,$0.0008968,"Aug 26, 2021","Mar 21, 2019",2022-01-26 21:29:05.857230
77,182,https://s2.coinmarketcap.com/static/img/coins/64x64/5268.png,Energy Web Token,EWT,"$182,917,544.73","$608,464,856.13",$5.89,$6.29,$6.13,$6.25,1.86%,"$1,054,851.97",$6.08,"$1,390,277.32",0.007601,0.01%,"30,062,138","100,000,000","48,638,535",$-0.04177,$6.47,$6.03,$7.40,$5.35,$7.40,$5.35,$21.85,$5.35,$22.22,$4.41,$22.22,$0.5008,"Apr 17, 2021","Apr 01, 2020",2022-01-26 21:29:09.651079
78,190,https://s2.coinmarketcap.com/static/img/coins/64x64/6951.png,Reef,REEF,"$172,309,381.95","$158,370,342.69",$0.009386,$0.009874,$0.009571,$0.009732,1.68%,"$19,112,629.90",$0.009829,"$24,880,618.27",0.1444,0.01%,"17,530,705,935",No,"16,112,552,172",$0.00004864,$0.01048,$0.009618,$0.0135,$0.008741,$0.0135,$0.008741,$0.03842,$0.008741,$0.05841,$0.008741,$0.05841,$0.006623,"Mar 15, 2021","Jan 13, 2021",2022-01-26 21:29:12.333544
79,191,https://s2.coinmarketcap.com/static/img/coins/64x64/1320.png,Ardor,ARDR,"$171,763,362.00","$171,763,362.00",$0.1609,$0.1843,$0.1609,$0.1671,3.83%,"$35,195,570.02",$0.1719,"$11,517,980.52",0.06706,0.01%,"998,999,495","998,999,495","998,999,495",$0.005237,$0.1791,$0.1635,$0.2207,$0.1508,$0.2207,$0.1508,$0.416,$0.1456,$0.7756,$0.07115,$2.55,$0.008368,"Jan 13, 2018","Oct 30, 2016",2022-01-26 21:29:14.816905
80,196,https://s2.coinmarketcap.com/static/img/coins/64x64/2222.png,Bitcoin Diamond,BCD,"$164,762,663.88","$185,530,708.11",$0.8403,$0.9099,$0.8748,$0.8734,0.17%,"$1,492,858.53",$0.8835,"$1,681,473.96",0.01021,0.01%,"186,492,898","210,000,000","189,492,898",$-0.008717,$0.928,$0.8615,$1.20,$0.8081,$1.20,$0.8081,$2.50,$0.8081,$11.22,$0.5868,$104.84,$0.2664,"Nov 25, 2017","Mar 13, 2020",2022-01-26 21:29:17.209573
81,199,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Verge,XVG,"$161,241,361.04","$161,833,066.06",$0.009,$0.009782,$0.009328,$0.009752,4.54%,"$6,249,674.52",$0.009775,"$8,097,157.66",0.05022,0.01%,"16,494,470,488","16,555,000,000","16,494,470,488",$0.00005142,$0.01046,$0.009565,$0.01346,$0.008098,$0.01346,$0.008098,$0.03704,$0.008098,$0.08482,$0.008098,$0.3006,$0.000002167,"Dec 23, 2017","Feb 05, 2015",2022-01-26 21:29:20.147679
82,199,https://s2.coinmarketcap.com/static/img/coins/64x64/3441.png,Divi,DIVI,"$160,962,457.29","$160,962,457.29",$0.05308,$0.05696,$0.05552,$0.05438,2.05%,"$311,192.43",$0.05939,"$383,679.44",0.002384,0.01%,"2,710,141,880",No,"2,710,141,880",$0.003976,$0.06045,$0.05417,$0.07236,$0.05267,$0.07236,$0.05267,$0.187,$0.02961,$0.187,$0.02075,$0.3527,$0.001028,"Nov 20, 2020","Jun 09, 2019",2022-01-26 21:29:22.679470
83,203,https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,Toncoin,TONCOIN,"$2,670,399,676.42","$10,931,705,806.27",$2.19,$2.36,$2.36,$2.24,4.93%,"$6,590,888.60",$2.19,"$5,960,419.69",0.002232,0.00%,"1,221,401,181","5,000,000,000","5,047,558,528",$-0.05881,$2.33,$2.19,$3.70,$2.19,$3.70,$2.19,$5.84,$0.7336,$5.84,$0.3906,$5.84,$0.3906,"Nov 12, 2021","Sep 20, 2021",2022-01-26 21:29:25.075069
84,208,https://s2.coinmarketcap.com/static/img/coins/64x64/5482.png,Counos X,CCXX,"$1,333,052,246.24","$1,567,027,067.67",$74.43,$74.66,$74.55,$74.56,0.02%,$61.18,$74.62,$60.00,0.00000005,NaN,"17,864,463","21,000,000","18,402,730",$0.05746,$74.70,$74.19,$74.86,$4.21,$74.86,$4.21,$179.31,$4.21,$179.31,$4.21,$179.31,$4.21,"Dec 17, 2021","Jan 21, 2022",2022-01-26 21:29:27.503448
85,215,https://s2.coinmarketcap.com/static/img/coins/64x64/8677.png,Symbol,XYM,"$898,264,780.05","$1,448,175,716.97",$0.1529,$0.1594,$0.1574,$0.1593,1.21%,"$5,390,040.69",$0.1609,"$8,268,979.77",0.009206,NaN,"5,582,460,005","8,999,999,999","7,967,988,930",$0.002777,$0.1672,$0.158,$0.1875,$0.1451,$0.1875,$0.1451,$0.5409,$0.1451,$0.7715,$0.08969,$0.7715,$0.08969,"Mar 21, 2021","Jun 22, 2021",2022-01-26 21:29:30.028692
86,217,https://s2.coinmarketcap.com/static/img/coins/64x64/5804.png,DeFiChain,DFI,"$769,740,187.51","$3,073,716,579.73",$2.43,$2.56,$2.50,$2.51,0.24%,"$2,343,852.53",$2.56,"$2,277,156.57",0.002958,NaN,"300,511,840","1,200,000,000","588,631,840",$0.0352,$2.62,$2.49,$3.09,$2.31,$3.09,$2.31,$5.62,$1.41,$5.62,$1.41,$5.62,$0.1642,"Dec 06, 2021","Jul 03, 2020",2022-01-26 21:29:33.606262
87,221,https://s2.coinmarketcap.com/static/img/coins/64x64/4512.png,LINK,LN,"$689,757,432.74","$697,744,852.39",$109.25,$115.49,$114.43,$113.97,0.4%,"$2,028,410.18",$115.43,"$1,744,737.98",0.002529,0.00%,"5,975,799",No,"6,044,999",$2.83,$119.52,$110.69,$151.33,$99.35,$151.33,$99.35,$316.31,$99.35,$347.83,$16.76,$347.83,$2.58,"Apr 01, 2021","Mar 12, 2020",2022-01-26 21:29:36.687514
88,223,https://s2.coinmarketcap.com/static/img/coins/64x64/6836.png,Moonbeam,GLMR,"$579,202,776.94","$7,401,021,358.33",$7.11,$7.97,$7.41,$7.77,4.83%,"$41,598,840.89",$7.40,"$40,193,940.55",0.0694,0.00%,"78,259,844","1,000,000,000","1,005,086,896",$-0.3871,$7.97,$7.34,$11.32,$6.52,$11.32,$6.52,$437.07,$6.52,$437.07,$6.52,$437.07,$6.52,"Jan 11, 2022","Jan 24, 2022",2022-01-26 21:29:39.624660
89,228,https://s2.coinmarketcap.com/static/img/coins/64x64/10442.png,Decentralized Social,DESO,"$460,129,427.82","$559,770,959.29",$51.27,$62.57,$61.01,$51.68,15.3%,"$3,108,404.45",$51.79,"$1,810,388.83",0.003935,0.00%,"8,884,536","10,808,492","10,808,492",$-0.4831,$53.09,$49.31,$95.19,$39.93,$95.19,$39.93,$475.00,$39.93,$475.00,$0,$475.00,NaN,"Dec 13, 2021","Jun 16, 2021",2022-01-26 21:29:42.169507
90,229,https://s2.coinmarketcap.com/static/img/coins/64x64/268.png,WhiteCoin,XWC,"$427,320,298.24","$574,199,920.81",$0.5741,$0.5919,$0.5917,$0.5741,2.96%,"$6,654,853.78",$0.5742,"$7,077,739.41",0.01656,NaN,"744,201,249","1,000,000,000","944,201,250",$-0.002739,$0.5778,$0.5675,$0.6035,$0.5675,$0.6035,$0.5675,$0.9694,$0.5498,$2.62,$0.5278,$2.62,$0.00006573,"Mar 05, 2021","Nov 19, 2015",2022-01-26 21:29:44.403921
91,235,https://s2.coinmarketcap.com/static/img/coins/64x64/7878.png,MobileCoin,MOB,"$336,277,059.27","$1,132,729,227.58",$4.48,$4.63,$4.52,$4.51,0.12%,"$815,330.40",$4.53,"$1,193,702.46",0.00355,0.00%,"74,218,324",No,"250,000,000",$-0.07791,$4.73,$4.49,$9.13,$1.03,$9.13,$1.03,$17.07,$1.03,$73.45,$1.03,$73.45,$1.03,"Apr 06, 2021","Jan 22, 2022",2022-01-26 21:29:46.733462
92,250,https://s2.coinmarketcap.com/static/img/coins/64x64/14556.png,Boba Network,BOBA,"$266,203,098.53","$840,801,536.34",$1.62,$1.72,$1.69,$1.72,1.74%,"$3,796,746.83",$1.68,"$3,917,248.43",0.01472,0.00%,"158,303,171","500,000,000","500,000,000",$-0.01774,$1.80,$1.68,$2.91,$1.55,$2.91,$1.55,$7.99,$1.55,$7.99,$1.55,$7.99,$1.55,"Nov 25, 2021","Jan 24, 2022",2022-01-26 21:29:49.109736
93,261,https://s2.coinmarketcap.com/static/img/coins/64x64/9258.png,Chia,XCH,"$225,428,141.05","$1,723,347,555.18",$73.44,$79.45,$78.89,$78.75,0.17%,"$16,127,761.27",$76.32,"$14,190,669.11",0.06295,0.00%,"2,953,916",No,"22,582,025",$-1.58,$79.97,$75.82,$87.48,$68.48,$87.48,$68.48,$230.14,$68.48,"$1,934.51",$68.48,"$1,934.51",$68.48,"May 03, 2021","Jan 22, 2022",2022-01-26 21:29:51.513407
94,263,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Everscale,EVER,"$225,809,679.18","$626,373,174.95",$0.2896,$0.3087,$0.3012,$0.3007,0.17%,"$3,243,583.93",$0.3071,"$2,848,268.10",0.01261,0.00%,"735,353,906",No,"2,039,797,242",$0.001873,$0.3138,$0.2932,$0.3454,$0.2805,$0.3454,$0.2805,$0.4356,$0.2277,$0.8761,$0.2277,$1.70,$0.1677,"Oct 26, 2020","Dec 27, 2020",2022-01-26 21:29:53.963854
95,266,https://s2.coinmarketcap.com/static/img/coins/64x64/4121.png,Sapphire,SAPP,"$209,095,391.91","$216,153,685.07",$0.3729,$0.3979,$0.3886,$0.3954,1.75%,"$1,395,644.95",$0.389,"$1,008,127.52",0.004821,NaN,"537,572,916",No,"555,719,405",$-0.004528,$0.415,$0.389,$0.4665,$0.3505,$0.4665,$0.3505,$0.6375,$0.3505,$0.6375,$0.0721,$0.6375,$0.00178,"Nov 16, 2021","May 05, 2020",2022-01-26 21:29:57.117749
96,271,https://s2.coinmarketcap.com/static/img/coins/64x64/7431.png,Akash Network,AKT,"$190,970,588.37","$651,665,845.02",$1.77,$1.83,$1.80,$1.79,0.92%,"$1,863,778.47",$1.68,"$1,798,691.20",0.009419,NaN,"113,861,304","388,539,008","162,863,559",$-0.1243,$1.79,$1.67,$2.30,$1.54,$2.30,$1.54,$3.07,$1.39,$8.08,$1.39,$8.08,$0.3335,"Apr 06, 2021","Oct 23, 2020",2022-01-26 21:29:59.669510
97,284,https://s2.coinmarketcap.com/static/img/coins/64x64/5552.png,Hathor,HTR,"$159,772,448.72","$637,971,160.30",$0.6679,$0.7539,$0.6917,$0.7251,4.83%,"$10,676,888.60",$0.7075,"$12,459,593.75",0.07798,NaN,"225,842,072",No,"901,787,072",$-0.0299,$0.7769,$0.6924,$1.21,$0.5943,$1.21,$0.5943,$2.48,$0.5943,$2.48,$0.1823,$2.48,$0.08089,"Nov 21, 2021","Nov 06, 2020",2022-01-26 21:30:02.571908
98,289,https://s2.coinmarketcap.com/static/img/coins/64x64/4660.png,Telos,TLOS,"$157,566,780.66","$207,198,007.82",$0.5307,$0.5823,$0.5387,$0.5634,4.59%,"$3,684,241.85",$0.5833,"$3,595,482.60",0.02282,0.00%,"270,123,444",No,"355,208,371",$0.01708,$0.6017,$0.5565,$0.7503,$0.4879,$0.7503,$0.4879,$1.28,$0.4467,$1.28,$0.03443,$1.28,$0.009753,"Nov 16, 2021","Dec 05, 2020",2022-01-26 21:30:05.859118
