,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date,price_change_percentage
49,86,https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png,Mina,MINA,857874370.01,1962611460.68,2.22,2.38,2.33,2.32,0.46,39520076.07,2.38,44201798.01,0.05152,0.05,360223380.0,0.0,824104972.0,0.08477,2.54,2.25,3.64,2.09,3.64,2.09,6.57,2.09,9.91,0.9233,9.91,0.9233,"Jun 01, 2021","Jul 21, 2021",2022-01-26 21:27:48.693879,3.561764705882353
50,87,https://s2.coinmarketcap.com/static/img/coins/64x64/3822.png,Theta Fuel,TFUEL,836565950.14,836565950.14,0.123,0.1314,0.1314,0.1286,2.06,27492648.51,0.1578,154321402.47,0.1845,0.05,5301214400.0,0.0,5301214400.0,0.031,0.1881,0.1253,0.2006,0.1148,0.2006,0.1148,0.3968,0.1148,0.6807,0.02678,0.6807,0.0008897,"Jun 09, 2021","Mar 13, 2020",2022-01-26 21:27:51.422585,19.64512040557668
51,89,https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png,Decred,DCR,816888532.16,1251096839.51,53.09,56.17,54.97,54.78,0.34,5135359.37,59.58,11095754.44,0.01358,0.05,13711696.0,21000000.0,13711696.0,4.91,63.69,53.86,71.3,50.28,71.3,50.28,122.24,50.28,250.02,50.28,250.02,0.3948,"Apr 17, 2021","Dec 28, 2016",2022-01-26 21:27:54.144306,8.241020476670025
52,90,https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png,XDC Network,XDC,799415352.66,2449568055.02,0.06179,0.06424,0.06238,0.06348,1.77,7879738.28,0.06497,9200977.47,0.01151,0.05,12305012699.0,0.0,37705012699.0,0.001572,0.06615,0.06294,0.08312,0.05745,0.08312,0.05745,0.1165,0.05745,0.1939,0.005411,0.1939,0.0001571,"Aug 21, 2021","Jun 20, 2019",2022-01-26 21:27:56.845084,2.419578266892412
53,94,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,IoTeX,IOTX,724145198.62,759000050.21,0.06838,0.0735,0.07068,0.07255,2.64,25749998.52,0.0759,32437129.48,0.04479,0.04,9540779324.0,10000000000.0,9626124332.0,0.003571,0.07905,0.07138,0.109,0.06322,0.109,0.06322,0.2611,0.06258,0.2611,0.009101,0.2611,0.001239,"Nov 13, 2021","Mar 13, 2020",2022-01-26 21:27:59.524817,4.704874835309618
54,95,https://s2.coinmarketcap.com/static/img/coins/64x64/2577.png,Ravencoin,RVN,688787975.16,1381089178.12,0.06075,0.0651,0.06224,0.06334,1.77,31852156.95,0.06577,44322844.89,0.06435,0.04,10473290000.0,21000000000.0,10473290000.0,0.00171,0.07022,0.06281,0.08872,0.05355,0.08872,0.05355,0.1496,0.05355,0.2854,0.0146,0.2854,0.008794,"Feb 20, 2021","Mar 13, 2020",2022-01-26 21:28:02.166824,2.5999695909989358
55,98,https://s2.coinmarketcap.com/static/img/coins/64x64/4747.png,Velas,VLX,575251944.07,575251944.07,0.2367,0.2459,0.2459,0.2435,0.99,7938970.03,0.2551,10114298.5,0.01758,0.03,2254628928.0,0.0,2254628928.0,0.01044,0.2593,0.2409,0.3339,0.226,0.5706,0.226,0.572,0.1666,0.572,0.03444,0.572,0.01162,"Nov 04, 2021","Oct 16, 2019",2022-01-26 21:28:06.448375,4.092512740101921
56,101,https://s2.coinmarketcap.com/static/img/coins/64x64/1684.png,Qtum,QTUM,567181507.35,617826977.31,5.32,5.59,5.46,5.55,1.73,112999217.81,5.73,124320050.05,0.2192,0.03,98983821.0,107822406.0,103944501.0,0.216,6.03,5.46,7.67,4.98,7.67,4.98,19.15,4.98,35.38,3.02,106.88,0.77,"Jan 07, 2018","Mar 13, 2020",2022-01-26 21:28:08.942705,3.769633507853403
57,105,https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png,Zilliqa,ZIL,551565438.58,940332283.06,0.04143,0.04637,0.04217,0.04501,6.74,78088874.17,0.04478,67645626.02,0.1226,0.03,12317852337.0,21000000000.0,15609319490.0,-0.0007445,0.04802,0.04428,0.06213,0.0379,0.06213,0.0379,0.1246,0.0379,0.2563,0.0379,0.2563,0.002477,"May 06, 2021","Mar 13, 2020",2022-01-26 21:28:11.363994,-1.6625725770433228
58,105,https://s2.coinmarketcap.com/static/img/coins/64x64/2300.png,WAX,WAXP,558889218.67,1121235809.26,0.2636,0.2805,0.2792,0.2792,0.0,39507262.61,0.2918,59881653.77,0.1071,0.03,1915363535.0,0.0,3842575793.0,0.01938,0.312,0.2687,0.3809,0.2374,0.3809,0.2374,0.9814,0.2374,0.9814,0.03811,5.01,0.01596,"Dec 21, 2017","Dec 30, 2019",2022-01-26 21:28:13.605061,6.641535298149417
59,111,https://s2.coinmarketcap.com/static/img/coins/64x64/541.png,Syscoin,SYS,527155423.1,740324478.8,0.8099,0.8861,0.8577,0.8398,2.09,23789321.24,0.8337,27434880.28,0.05204,0.03,632309250.0,888000000.0,632309250.0,-0.01719,0.8915,0.8187,1.21,0.7296,1.21,0.7296,1.31,0.3102,1.31,0.08917,1.31,0.0001992,"Jan 02, 2022","Feb 22, 2015",2022-01-26 21:28:16.489441,-2.0618927671824396
60,115,https://s2.coinmarketcap.com/static/img/coins/64x64/2083.png,Bitcoin Gold,BTG,510172447.31,611720231.57,27.74,29.03,28.42,28.7,0.99,26428168.43,29.13,27659093.4,0.05422,0.03,17513924.0,21000000.0,17513924.0,0.4394,30.69,28.45,36.66,26.14,36.66,26.14,76.61,26.14,168.19,9.53,539.72,2.54,"Oct 23, 2017","Nov 23, 2020",2022-01-26 21:28:18.953029,1.5084105732921387
61,119,https://s2.coinmarketcap.com/static/img/coins/64x64/2099.png,ICON,ICX,494795546.63,561056116.34,0.6355,0.6829,0.6654,0.6804,2.25,23285339.34,0.7009,27453235.29,0.05548,0.03,705925899.0,0.0,800460000.0,0.0243,0.7461,0.6642,0.9763,0.5937,0.9763,0.5937,2.71,0.5937,3.26,0.5937,12.64,0.1069,"Jan 09, 2018","Jan 03, 2020",2022-01-26 21:28:21.321062,3.466971037237837
62,121,https://s2.coinmarketcap.com/static/img/coins/64x64/1042.png,Siacoin,SC,479884800.98,479884800.98,0.00907,0.00954,0.0094,0.009468,0.73,15395423.72,0.009607,24055336.38,0.05013,0.03,49953922992.0,0.0,49953922992.0,0.0002191,0.01029,0.009266,0.01323,0.008341,0.01323,0.008341,0.02957,0.008341,0.06292,0.003973,0.1117,1.131e-05,"Jan 06, 2018","Dec 01, 2015",2022-01-26 21:28:23.668986,2.28062870823358
63,125,https://s2.coinmarketcap.com/static/img/coins/64x64/1698.png,Horizen,ZEN,454631710.67,795701640.96,33.37,36.09,34.09,34.94,2.5,35113992.55,37.89,63393973.43,0.1394,0.03,11998550.0,21000000.0,11752188.0,2.79,40.79,34.45,52.54,30.15,52.54,30.15,136.88,30.15,168.15,28.51,168.15,3.09,"May 08, 2021","Jul 31, 2017",2022-01-26 21:28:25.947993,7.363420427553444
64,127,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Nervos Network,CKB,441994627.49,528949960.53,0.01371,0.01487,0.01409,0.01462,3.76,10325276.7,0.01496,26338691.76,0.05959,0.03,29539682084.0,0.0,35351139359.0,0.0002686,0.01584,0.01413,0.02092,0.01258,0.02092,0.01258,0.03557,0.01258,0.04412,0.004892,0.04412,0.002565,"Mar 31, 2021","Mar 13, 2020",2022-01-26 21:28:28.593954,1.7954545454545456
65,129,https://s2.coinmarketcap.com/static/img/coins/64x64/2405.png,IOST,IOST,429704649.42,2136686050.16,0.02131,0.02249,0.02175,0.02202,1.25,42839096.8,0.02374,59110447.23,0.1376,0.03,18099719631.0,90000000000.0,18099719631.0,0.001781,0.02496,0.02162,0.02819,0.01919,0.02819,0.01919,0.05745,0.01919,0.09073,0.01432,0.1365,0.001562,"Jan 24, 2018","Mar 13, 2020",2022-01-26 21:28:31.785418,7.502106149957877
66,132,https://s2.coinmarketcap.com/static/img/coins/64x64/2566.png,Ontology,ONT,407767317.08,465886933.84,0.4356,0.4559,0.4455,0.4528,1.63,38575256.84,0.4659,47988474.66,0.1177,0.02,875249524.0,1000000000.0,1000000000.0,0.01664,0.4895,0.4435,0.6207,0.408,0.6207,0.408,1.24,0.408,2.94,0.408,11.18,0.225,"May 03, 2018","Mar 13, 2020",2022-01-26 21:28:36.342331,3.571581884524576
67,138,https://s2.coinmarketcap.com/static/img/coins/64x64/3029.png,Flux,FLUX,350435747.42,685205996.88,1.39,1.55,1.5,1.48,0.8,36610109.1,1.56,53553835.85,0.1528,0.02,225029742.0,440000000.0,220347380.0,0.06044,1.7,1.46,2.46,1.3,2.46,1.3,4.17,0.4601,4.17,0.02423,4.17,0.01698,"Dec 10, 2021","Nov 16, 2020",2022-01-26 21:28:40.464378,3.874358974358974
68,137,https://s2.coinmarketcap.com/static/img/coins/64x64/5370.png,Hive,HIVE,348171001.4,348171001.4,0.7868,0.8453,0.8435,0.8381,0.64,12681448.79,0.867,52981894.4,0.1522,0.02,401580988.0,0.0,401580988.0,0.03077,0.9628,0.8215,1.19,0.7168,1.19,0.7168,3.42,0.7168,3.42,0.1271,3.42,0.08694,"Nov 26, 2021","Apr 06, 2020",2022-01-26 21:28:42.632264,3.5490196078431375
69,140,https://s2.coinmarketcap.com/static/img/coins/64x64/109.png,DigiByte,DGB,336689744.26,470006673.56,0.01995,0.02125,0.02031,0.0212,4.38,21693582.09,0.02238,27416002.11,0.08143,0.02,15043370716.0,21000000000.0,15043370716.0,0.001303,0.02351,0.02078,0.02853,0.0183,0.02853,0.0183,0.07165,0.0183,0.1825,0.0183,0.1825,2.028e-05,"May 01, 2021","Dec 20, 2014",2022-01-26 21:28:44.858988,5.822162645218945
70,146,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Nano,XNO,315378314.73,315378314.26,2.27,2.4,2.31,2.33,1.15,64639615.94,2.37,60587765.47,0.1921,0.02,133248297.0,133248297.0,133248297.0,-0.007003,2.62,2.25,3.12,1.93,3.12,1.93,7.48,1.93,17.49,1.93,37.62,0.006658,"Jan 02, 2018","Mar 10, 2017",2022-01-26 21:28:47.331280,-0.29548523206751054
71,152,https://s2.coinmarketcap.com/static/img/coins/64x64/6187.png,Serum,SRM,285109941.08,21744077048.06,2.06,2.15,2.11,2.1,0.47,58654483.88,2.14,72901768.82,0.2557,0.02,133231781.0,10161000000.0,1092844982.0,0.0393,2.27,2.06,3.01,1.94,3.01,1.94,8.88,1.94,13.72,1.8,13.72,0.11,"Sep 11, 2021","Aug 11, 2020",2022-01-26 21:28:50.222368,1.836448598130841
72,155,https://s2.coinmarketcap.com/static/img/coins/64x64/5899.png,Casper,CSPR,269308048.2,932387084.95,0.07597,0.09157,0.08118,0.08841,8.91,18844153.8,0.08773,16033664.66,0.05954,0.02,3069626556.0,0.0,10627532952.0,-0.001871,0.09243,0.08651,0.1077,0.07156,0.1077,0.07156,0.2401,0.07156,1.36,0.05072,1.36,0.05072,"May 12, 2021","Jul 15, 2021",2022-01-26 21:28:52.914371,-2.1326798130628064
73,165,https://s2.coinmarketcap.com/static/img/coins/64x64/3992.png,COTI,COTI,236503674.43,544517705.86,0.2474,0.2718,0.2614,0.2599,0.56,37401962.9,0.2723,38260656.95,0.1618,0.01,868672118.0,2000000000.0,2000000000.0,0.01073,0.2851,0.2545,0.3956,0.2231,0.3956,0.2231,0.6826,0.2231,0.6826,0.05635,0.6826,0.006226,"Oct 31, 2021","Nov 09, 2019",2022-01-26 21:28:56.619299,3.940506793977231
74,171,https://s2.coinmarketcap.com/static/img/coins/64x64/2303.png,MediBloc,MED,211164494.83,308083005.31,0.03531,0.03759,0.03759,0.03729,0.8,5126248.43,0.03923,21126591.19,0.1,0.01,5382401140.0,0.0,7852770516.0,0.002348,0.04254,0.03662,0.04914,0.03377,0.04914,0.03377,0.09195,0.03377,0.3528,0.004169,0.3528,0.001558,"Apr 02, 2021","Feb 06, 2019",2022-01-26 21:29:00.298069,5.985215396380321
75,173,https://s2.coinmarketcap.com/static/img/coins/64x64/1214.png,Lisk,LSK,208773385.94,234555479.61,1.48,1.6,1.54,1.59,3.09,3224462.0,1.62,12706784.53,0.06086,0.01,128900445.0,0.0,144818773.0,0.04539,1.7,1.54,2.06,1.45,2.06,1.45,4.53,1.45,11.41,1.19,39.31,0.09565,"Jan 07, 2018","Mar 02, 2017",2022-01-26 21:29:02.919086,2.8018518518518514
76,177,https://s2.coinmarketcap.com/static/img/coins/64x64/2868.png,Constellation,DAG,198427959.96,578502143.48,0.1501,0.1623,0.1526,0.1569,2.83,1405449.73,0.1566,1404834.99,0.00708,0.01,1266911931.0,3693588685.0,3711998690.0,-0.0003528,0.1603,0.1538,0.1867,0.1365,0.1867,0.1365,0.2862,0.1365,0.4624,0.009042,0.4624,0.0008968,"Aug 26, 2021","Mar 21, 2019",2022-01-26 21:29:05.857230,-0.2252873563218391
77,182,https://s2.coinmarketcap.com/static/img/coins/64x64/5268.png,Energy Web Token,EWT,182917544.73,608464856.13,5.89,6.29,6.13,6.25,1.86,1054851.97,6.08,1390277.32,0.007601,0.01,30062138.0,100000000.0,48638535.0,-0.04177,6.47,6.03,7.4,5.35,7.4,5.35,21.85,5.35,22.22,4.41,22.22,0.5008,"Apr 17, 2021","Apr 01, 2020",2022-01-26 21:29:09.651079,-0.6870065789473684
78,190,https://s2.coinmarketcap.com/static/img/coins/64x64/6951.png,Reef,REEF,172309381.95,158370342.69,0.009386,0.009874,0.009571,0.009732,1.68,19112629.9,0.009829,24880618.27,0.1444,0.01,17530705935.0,0.0,16112552172.0,4.864e-05,0.01048,0.009618,0.0135,0.008741,0.0135,0.008741,0.03842,0.008741,0.05841,0.008741,0.05841,0.006623,"Mar 15, 2021","Jan 13, 2021",2022-01-26 21:29:12.333544,0.49486214263912914
79,191,https://s2.coinmarketcap.com/static/img/coins/64x64/1320.png,Ardor,ARDR,171763362.0,171763362.0,0.1609,0.1843,0.1609,0.1671,3.83,35195570.02,0.1719,11517980.52,0.06706,0.01,998999495.0,998999495.0,998999495.0,0.005237,0.1791,0.1635,0.2207,0.1508,0.2207,0.1508,0.416,0.1456,0.7756,0.07115,2.55,0.008368,"Jan 13, 2018","Oct 30, 2016",2022-01-26 21:29:14.816905,3.0465386852821412
80,196,https://s2.coinmarketcap.com/static/img/coins/64x64/2222.png,Bitcoin Diamond,BCD,164762663.88,185530708.11,0.8403,0.9099,0.8748,0.8734,0.17,1492858.53,0.8835,1681473.96,0.01021,0.01,186492898.0,210000000.0,189492898.0,-0.008717,0.928,0.8615,1.2,0.8081,1.2,0.8081,2.5,0.8081,11.22,0.5868,104.84,0.2664,"Nov 25, 2017","Mar 13, 2020",2022-01-26 21:29:17.209573,-0.9866440294284099
81,199,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Verge,XVG,161241361.04,161833066.06,0.009,0.009782,0.009328,0.009752,4.54,6249674.52,0.009775,8097157.66,0.05022,0.01,16494470488.0,16555000000.0,16494470488.0,5.142e-05,0.01046,0.009565,0.01346,0.008098,0.01346,0.008098,0.03704,0.008098,0.08482,0.008098,0.3006,2.167e-06,"Dec 23, 2017","Feb 05, 2015",2022-01-26 21:29:20.147679,0.5260358056265984
82,199,https://s2.coinmarketcap.com/static/img/coins/64x64/3441.png,Divi,DIVI,160962457.29,160962457.29,0.05308,0.05696,0.05552,0.05438,2.05,311192.43,0.05939,383679.44,0.002384,0.01,2710141880.0,0.0,2710141880.0,0.003976,0.06045,0.05417,0.07236,0.05267,0.07236,0.05267,0.187,0.02961,0.187,0.02075,0.3527,0.001028,"Nov 20, 2020","Jun 09, 2019",2022-01-26 21:29:22.679470,6.6947297524835845
83,203,https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,Toncoin,TONCOIN,2670399676.42,10931705806.27,2.19,2.36,2.36,2.24,4.93,6590888.6,2.19,5960419.69,0.002232,0.0,1221401181.0,5000000000.0,5047558528.0,-0.05881,2.33,2.19,3.7,2.19,3.7,2.19,5.84,0.7336,5.84,0.3906,5.84,0.3906,"Nov 12, 2021","Sep 20, 2021",2022-01-26 21:29:25.075069,-2.6853881278538814
84,208,https://s2.coinmarketcap.com/static/img/coins/64x64/5482.png,Counos X,CCXX,1333052246.24,1567027067.67,74.43,74.66,74.55,74.56,0.02,61.18,74.62,60.0,5e-08,0.0,17864463.0,21000000.0,18402730.0,0.05746,74.7,74.19,74.86,4.21,74.86,4.21,179.31,4.21,179.31,4.21,179.31,4.21,"Dec 17, 2021","Jan 21, 2022",2022-01-26 21:29:27.503448,0.07700348432055748
85,215,https://s2.coinmarketcap.com/static/img/coins/64x64/8677.png,Symbol,XYM,898264780.05,1448175716.97,0.1529,0.1594,0.1574,0.1593,1.21,5390040.69,0.1609,8268979.77,0.009206,0.0,5582460005.0,8999999999.0,7967988930.0,0.002777,0.1672,0.158,0.1875,0.1451,0.1875,0.1451,0.5409,0.1451,0.7715,0.08969,0.7715,0.08969,"Mar 21, 2021","Jun 22, 2021",2022-01-26 21:29:30.028692,1.7259167184586703
86,217,https://s2.coinmarketcap.com/static/img/coins/64x64/5804.png,DeFiChain,DFI,769740187.51,3073716579.73,2.43,2.56,2.5,2.51,0.24,2343852.53,2.56,2277156.57,0.002958,0.0,300511840.0,1200000000.0,588631840.0,0.0352,2.62,2.49,3.09,2.31,3.09,2.31,5.62,1.41,5.62,1.41,5.62,0.1642,"Dec 06, 2021","Jul 03, 2020",2022-01-26 21:29:33.606262,1.375
87,221,https://s2.coinmarketcap.com/static/img/coins/64x64/4512.png,LINK,LN,689757432.74,697744852.39,109.25,115.49,114.43,113.97,0.4,2028410.18,115.43,1744737.98,0.002529,0.0,5975799.0,0.0,6044999.0,2.83,119.52,110.69,151.33,99.35,151.33,99.35,316.31,99.35,347.83,16.76,347.83,2.58,"Apr 01, 2021","Mar 12, 2020",2022-01-26 21:29:36.687514,2.451702330416703
88,223,https://s2.coinmarketcap.com/static/img/coins/64x64/6836.png,Moonbeam,GLMR,579202776.94,7401021358.33,7.11,7.97,7.41,7.77,4.83,41598840.89,7.4,40193940.55,0.0694,0.0,78259844.0,1000000000.0,1005086896.0,-0.3871,7.97,7.34,11.32,6.52,11.32,6.52,437.07,6.52,437.07,6.52,437.07,6.52,"Jan 11, 2022","Jan 24, 2022",2022-01-26 21:29:39.624660,-5.231081081081081
89,228,https://s2.coinmarketcap.com/static/img/coins/64x64/10442.png,Decentralized Social,DESO,460129427.82,559770959.29,51.27,62.57,61.01,51.68,15.3,3108404.45,51.79,1810388.83,0.003935,0.0,8884536.0,10808492.0,10808492.0,-0.4831,53.09,49.31,95.19,39.93,95.19,39.93,475.0,39.93,475.0,0.0,475.0,0.0,"Dec 13, 2021","Jun 16, 2021",2022-01-26 21:29:42.169507,-0.9328055609190964
90,229,https://s2.coinmarketcap.com/static/img/coins/64x64/268.png,WhiteCoin,XWC,427320298.24,574199920.81,0.5741,0.5919,0.5917,0.5741,2.96,6654853.78,0.5742,7077739.41,0.01656,0.0,744201249.0,1000000000.0,944201250.0,-0.002739,0.5778,0.5675,0.6035,0.5675,0.6035,0.5675,0.9694,0.5498,2.62,0.5278,2.62,6.573e-05,"Mar 05, 2021","Nov 19, 2015",2022-01-26 21:29:44.403921,-0.47701149425287354
91,235,https://s2.coinmarketcap.com/static/img/coins/64x64/7878.png,MobileCoin,MOB,336277059.27,1132729227.58,4.48,4.63,4.52,4.51,0.12,815330.4,4.53,1193702.46,0.00355,0.0,74218324.0,0.0,250000000.0,-0.07791,4.73,4.49,9.13,1.03,9.13,1.03,17.07,1.03,73.45,1.03,73.45,1.03,"Apr 06, 2021","Jan 22, 2022",2022-01-26 21:29:46.733462,-1.7198675496688738
92,250,https://s2.coinmarketcap.com/static/img/coins/64x64/14556.png,Boba Network,BOBA,266203098.53,840801536.34,1.62,1.72,1.69,1.72,1.74,3796746.83,1.68,3917248.43,0.01472,0.0,158303171.0,500000000.0,500000000.0,-0.01774,1.8,1.68,2.91,1.55,2.91,1.55,7.99,1.55,7.99,1.55,7.99,1.55,"Nov 25, 2021","Jan 24, 2022",2022-01-26 21:29:49.109736,-1.0559523809523808
93,261,https://s2.coinmarketcap.com/static/img/coins/64x64/9258.png,Chia,XCH,225428141.05,1723347555.18,73.44,79.45,78.89,78.75,0.17,16127761.27,76.32,14190669.11,0.06295,0.0,2953916.0,0.0,22582025.0,-1.58,79.97,75.82,87.48,68.48,87.48,68.48,230.14,68.48,1934.51,68.48,1934.51,68.48,"May 03, 2021","Jan 22, 2022",2022-01-26 21:29:51.513407,-2.070230607966457
94,263,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Everscale,EVER,225809679.18,626373174.95,0.2896,0.3087,0.3012,0.3007,0.17,3243583.93,0.3071,2848268.1,0.01261,0.0,735353906.0,0.0,2039797242.0,0.001873,0.3138,0.2932,0.3454,0.2805,0.3454,0.2805,0.4356,0.2277,0.8761,0.2277,1.7,0.1677,"Oct 26, 2020","Dec 27, 2020",2022-01-26 21:29:53.963854,0.6098990556821883
95,266,https://s2.coinmarketcap.com/static/img/coins/64x64/4121.png,Sapphire,SAPP,209095391.91,216153685.07,0.3729,0.3979,0.3886,0.3954,1.75,1395644.95,0.389,1008127.52,0.004821,0.0,537572916.0,0.0,555719405.0,-0.004528,0.415,0.389,0.4665,0.3505,0.4665,0.3505,0.6375,0.3505,0.6375,0.0721,0.6375,0.00178,"Nov 16, 2021","May 05, 2020",2022-01-26 21:29:57.117749,-1.1640102827763497
96,271,https://s2.coinmarketcap.com/static/img/coins/64x64/7431.png,Akash Network,AKT,190970588.37,651665845.02,1.77,1.83,1.8,1.79,0.92,1863778.47,1.68,1798691.2,0.009419,0.0,113861304.0,388539008.0,162863559.0,-0.1243,1.79,1.67,2.3,1.54,2.3,1.54,3.07,1.39,8.08,1.39,8.08,0.3335,"Apr 06, 2021","Oct 23, 2020",2022-01-26 21:29:59.669510,-7.398809523809524
97,284,https://s2.coinmarketcap.com/static/img/coins/64x64/5552.png,Hathor,HTR,159772448.72,637971160.3,0.6679,0.7539,0.6917,0.7251,4.83,10676888.6,0.7075,12459593.75,0.07798,0.0,225842072.0,0.0,901787072.0,-0.0299,0.7769,0.6924,1.21,0.5943,1.21,0.5943,2.48,0.5943,2.48,0.1823,2.48,0.08089,"Nov 21, 2021","Nov 06, 2020",2022-01-26 21:30:02.571908,-4.226148409893993
98,289,https://s2.coinmarketcap.com/static/img/coins/64x64/4660.png,Telos,TLOS,157566780.66,207198007.82,0.5307,0.5823,0.5387,0.5634,4.59,3684241.85,0.5833,3595482.6,0.02282,0.0,270123444.0,0.0,355208371.0,0.01708,0.6017,0.5565,0.7503,0.4879,0.7503,0.4879,1.28,0.4467,1.28,0.03443,1.28,0.009753,"Nov 16, 2021","Dec 05, 2020",2022-01-26 21:30:05.859118,2.928167323847077
